"‫‪locality-sensitive‬‬ ‫‪hashing‬‬ ‪(LSH‬)","درهم‌سازی حساس به مکان"
"cross-lingual","متقاطع زبانی"
"latent representation","نمایش نهفته"
"encoder","كدگذار"
"decoder","كدگشا"
"reinforcement learning","یادگیری تقویتی"
"policy learning ","یادگیری خط مشی "
"self-critic policy gradient","  گرادیان خط مشی انتقادی"
"maximum likelihood","   درست‌نمایی بیشینه"
"Meta-Learned","فرا یادگیری"
"Dot-Product"," نقطه-محصول"
"fine-tuning","تنظیم دقیق پارامترها"
"downstream task","عمل پايين‌دست"
"task","عمل "
"gap‬‬ ‫‪sentences","جملات فاصله‌افتاده"
"PEGASUS","پگاسوس"
"long short-term memory networks(LSTM)","حافظه‌ی بلند مدت طولانی"
"transformer","ترنسفورمر"
"Self-attention","توجه به خود"
"BART","بارت"
"GPT","جي‌پي‌تي "
"pretraining","پيش‌آموزش"
"locality-sensitive‬‬ ‫‪hashing‬‬","درهم‌سازی حساس به مکان"
"sparse","پراکنده"
"Big‬‬ ‫‪Bird‬‬","بیگ‌برد"
"sequence","توالی"
"‫‪Loss‬‬ ‫‪function"," تابع ضرر"
"regularization","تنظیم"
"T-BERTSum"," تی‌برت‌سام"
"gated recurrent unit (GRU)","واحد بازگشتی دروازه‌ای"
"informative","حاوی اطلاعات مفید"
"token embedding","تعبیه نشانه"
"bidirectional","دوسویه"
"segment embedding"," تعبیه قطعه"
"polysemy","چند معنایی"
"Representation","بازنمایی"
"deploy","توسعه"
"Neural Topic Model(NTM)"," مدل موضوعی عصبی"
"reversible layers","لایه‌های برگشت‌پذیر"
"training objective","هدف آموزش"
"recall","بازیابی"
"Autoregressive","خود رگرسیون"
" Maximal Marginal Relevance (MMR)","حداکثر ارتباط حاشیه ای"
"communicating agent","عامل تعامل کننده"
"agent","عامل  "
"transformer","ترنسفورمر"
"Term frequency"," فرکانس تکرار عبارت"
"lead-and-body phrase","عبارت مقدمه و بدنه"
"ontology","هستان‌شناسی"
"recurrent neural network (RNN)","شبکه‌های عصبی بازگشتی"
"Neural Topic Model(NTM","مدل موضوعی عصبی"
"bidirectional","دوسویه"
"segment embedding"," تعبیه قطعه"
"token embedding"," تعبیه نشانه"
"embedding","تعبیه"
"downstream tasks","وظایف پایین‌دست"
"tasks","وظایف"
"Meta-Learning","فرا یادگیری"
"Meta-Learned Dot-Product Maximization","الگوریتم حداکثر سازی نقطه-محصول فرا یادگیری"
"regularization","تنظیم"
"reversible layers","لایه‌های برگشت‌پذیر"
"locality-sensitive‬‬ ‫‪hashing‬‬ ‪(LSH‬)","درهم‌سازی حساس به مکان "
"global","جامع"
"global attention","توجه جامع"
"Divide-and-ConquER (DANCER)","دنسر"
"Pointer-Generator model","مدل مولد نقطه‌ای"
"corpus","مجموعه‌ی دادگان"
"Block-sparse self-attention"," توجه به خود پراکنده‌ی بلوکی"
"Global-token mechanism","مکانیرم توکن سراسری"
"Overlapping attention windows","هم‌پوشانی بلوک‌های توجه"
"Pooling-augmented blockwise attention"," خود توجهی مبتنی بر ادغام بلوکی تقویت شده"
"contextual network"," شبکه‌ی محتوایی"
"communicating agent","عامل تعامل‌کننده "
"maximum likelihood","درست‌نمایی بیشینه"
"ROUGE-1","روژـ1"
"ROUGE-2","روژـ2"
"ROUGE-L","روژ-ال"
"BERTScore","امتیازبرت"
"modified coverage reward along with a principled policy gradient estimator (RELAX)","ریلکس"
"policy","خط مشی"
"bias","سوگیری"
"maximum liklihood loss","تابع ضرر درست‌نمایی بیشینه"
"Constrained Markov Decision Process (CMDP)"," فرآیند تصمیم‌گیری مارکوف محدود"
"Lagrangian relaxation","ساده‌سازی لاگرانژ"
"named entity"," موجودیت نامدار"
"trigram","ترای‌گرم"
"query","کوئری"
"recall","بازیابی"
"two hub attention","توجه با مرکزیت دوگانه"
"Autoregressive","خودرگرسیون"
"Delta-ROUGE","دلتا-روژ "
